sample	group	subject
41__PU1_WT_1731_S41_R1_001	Prim-WT-U0
42__PU1_WT_1691_S42_R1_001	Prim-WT-U0
43__PU1_WT_1735_S43_R1_001	Prim-WT-U0
44__PU1_WT_1734_S44_R1_001	Prim-WT-U0
45__PU1_Neu_1712_S45_R1_001	Prim-KO-U0
46__PU1_Neu_1715_S46_R1_001	Prim-KO-U0
48__PU1_Neu_1718_S48_R1_001	Prim-KO-U0
CA_1_S9_R1_001	Prim-WT-Ca
CA_2_S10_R1_001	Prim-WT-Ca
CA_3_S11_R1_001	Prim-WT-Ca
CA_4_S12_R1_001	Prim-WT-Ca
CA_5_S13_R1_001	Prim-WT-Ca
CA_6_S14_R1_001	Prim-WT-Ca
CA_7_S15_R1_001	Prim-WT-Ca
CA_8_S16_R1_001	Prim-WT-Ca
PBS_1_S1_R1_001	Prim-WT-U
PBS_2_S2_R1_001	Prim-WT-U
PBS_3_S3_R1_001	Prim-WT-U
PBS_4_S4_R1_001	Prim-WT-U
PBS_5_S5_R1_001	Prim-WT-U
PBS_6_S6_R1_001	Prim-WT-U
PBS_7_S7_R1_001	Prim-WT-U
PBS_8_S8_R1_001	Prim-WT-U
